,source,target
0,1289956071537172484,1046084008742801408
1,1171388755,1046084008742801408
2,548904824,589687384
3,548904824,1246657358844923904
4,779784931,255409050
5,612277839,17600950
6,1306834920992436224,790856528
7,1208708548911173632,917735162300981248
8,61379637,1055115112837668864
9,255409050,1191666951992426496
10,446085902,432507102
11,1285982672246804481,991735877704368128
12,1285982672246804481,1214567991255257088
13,1285982672246804481,1046084008742801408
14,1285982672246804481,114363810
15,1084991187692343296,100447031
16,548904824,1291199187908870144
17,1065277176075837441,2177595727
18,1065277176075837441,1440898064
19,1140580617282711552,978467831200202752
20,1114184483010273280,1209457724599095296
21,490466901,4923019812
22,1299110116923301888,2205285126
23,255409050,772369903542153217
24,255409050,1265045853611479040
25,255409050,1185895125408309251
26,260630088,1562201468
27,190466697,580898398
28,1062156210089078787,4923019812
29,131844669,100447031
30,107284416,469164572
31,1089686965140635648,100447031
32,255409050,233453602
33,255409050,1092600230036496384
34,3343590853,100447031
35,255409050,1092600230036496384
36,1038285971639361536,1041242686429118464
37,255409050,1729592713
38,1055820014303891457,548904824
39,47251468,53351360
40,1147495568106594309,1482254538
41,956554895305277440,1185301570985979904
42,956554895305277440,1201673806156161025
43,548904824,1055820014303891457
44,1259062781258563585,1046084008742801408
45,390463409,731877853
46,2275398032,1562201468
47,255409050,1033994528523354112
48,399908198,480224156
49,1039020360748822529,1230129329893343232
50,1039020360748822529,719254478
51,1055820014303891457,548904824
52,1087776739462328320,432507102
53,399908198,117949111
54,33969796,154102750
55,1205500580203880449,1046084008742801408
56,982557721575608320,1144500700623192065
57,453158328,1128331569398108160
58,1282680756586700805,1186628784121737217
59,255409050,1297296847854170112
60,548904824,1863148884
61,2178259356,150589950
62,79237556,393823624
63,1201837568561561604,1143379692763791361
64,1201837568561561604,1244113314398875649
65,1322221722,1046084008742801408
66,1026714525360242688,2692774170
67,255409050,217731071
68,548904824,1014768930533994498
69,1186628784121737217,1282680756586700805
70,1253422351389089792,1152437175587241985
71,1607486988,150589950
72,1153916332867383296,1046084008742801408
73,292418952,270471441
74,1582231352,4187275698
75,255409050,2592311312
76,928467531278385152,270471441
77,1562980801,480224156
78,95378213,548904824
79,95378213,393823624
80,255409050,917675732079329280
81,1266551312679702528,1309053685343940608
82,548904824,1203582603934105602
83,548904824,1203582603934105602
84,280887840,1046084008742801408
85,1661531498,1068065299214163968
86,1311231067332829184,126557271
87,154072765,270471441
88,1259729822638456833,982557721575608320
89,1307953293386104833,100447031
90,1286260034783965185,1046084008742801408
91,1004762695558549505,1185779360738893824
92,820687535244382212,1189893401514102784
93,1308719799418011648,1307313214233878529
94,1303265619266076675,1307313214233878529
95,255409050,233453602
96,255409050,3355706668
97,255409050,768731685575729152
98,1101347353045291008,1384483754
99,1068065299214163968,1249488321522200576
100,1203582603934105602,548904824
101,1150431105637470208,1068065299214163968
102,255409050,3355706668
103,255409050,768731685575729152
104,1308007579658854400,971781658679521287
105,548904824,1203582603934105602
106,255409050,768731685575729152
107,729229672349765632,255409050
108,255409050,1291193792104603648
109,949525285828833280,913060739249725447
110,1147495568106594309,1482254538
111,255409050,768731685575729152
112,1251599111176032256,1084456172395016193
113,3029106588,243559885
114,1267453193400627201,1072038735456268288
115,811322074098610176,1292095636485988353
116,811322074098610176,1046084008742801408
117,255409050,1288111697224282112
118,733470255104675840,393823624
119,733470255104675840,1288684029022056449
120,1256844831562674176,548904824
121,1799511535,1046084008742801408
122,1106809957586919424,1046084008742801408
123,255409050,1112181774992314368
124,633015497,17600950
125,102950242,1227029291398885376
126,2372116789,5511
127,255409050,4201441519
128,255409050,1177841654759219200
129,800321982,1384483754
130,512719709,1542749965
131,512719709,6256122
132,512719709,1046084008742801408
133,982557721575608320,73767906
134,1077389505676509185,1174262924849889281
135,1265116008345251840,1269496148655353857
136,952353381405753345,7101692
137,1577068981,1046084008742801408
138,1225084021035503616,1046084008742801408
139,1020722699558010880,1384483754
